OBJECTID,Site_Name,DNO_Area,Substation_ID,Site_Type,Transformer_Rating__kVA_,Firm_Capacity__MVA_,Customer_Numbers,Site_Level,Three_Phase_,Primary_Voltage__kV_,Secondary_Voltage__kV_,Maximum_Demand__kW_,Upstream_Substation,Postcode,Postcodes_Fed,Postal_Sectors_Fed,Eastings,Northings,slope,slope_dimensionless,class,mannings,df_class,rofrs_0_2m,rofrs_0_3m,rofrs_0_6m,rofrs_0_9m,rofrs_1_2m,rofsw_0_2m,rofsw_0_3m,rofsw_0_6m,rofsw_0_9m,rofsw_1_2m,rofrs_high,rofrs_med,rofrs_low,rofsw_high,rofsw_med,rofsw_low,rof_high,rof_med,rof_low,velocity_high,velocity_med,velocity_low,df_high,df_med,df_low,hazard_high,hazard_med,hazard_low,degree_high,degree_med,degree_low
857,GAINFORD BURN,North East,3.71753E+11,Pole Mounted,15,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,SKERNESIDE,DL2 3EY,Redacted,Not Applicable,417918,517570,1.510760188,0.026373852,Urban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3769,VILLA REAL INDUSTRIAL CENTRAL,North East,6.89632E+11,Ground Mounted,800,Not Applicable,10,Distribution,Unknown,20,0.4,157.7,CONSETT,DH8 6SR,"DH8 5SX, DH8 6SZ, DH8 6SX, DH8 6SR, DH8 6NB",Not Applicable,411280,552119,1.483724356,0.025901665,Suburban,0.013,Urban,,,,,,Low,Low,,,,0,0,0,0,0,0.3,0,0,0.3,0,0,5.547977118,0,0,1,0,0,2.814393135,,,Extreme
4024,BROOMY HOLM,North East,5.56047E+11,Pole Mounted,25,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,ANNFIELD 66/20KV,DH7 6DY,Redacted,Not Applicable,423476,550253,1.476026535,0.025767223,Suburban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
851,ETHERLEY LEAZES,North East,4.78958E+11,Pole Mounted,50,Not Applicable,24,Distribution,Unknown,20,0.4,33.7,TORONTO 66/20KV,DL14 0LJ,DL14 0LJ,Not Applicable,417645,527843,1.468520999,0.02563614,Improved grassland,0.04,Pasture/Arable,,,,,,High,High,High,Low,Very low,0,0,0,0.6,0.6,0.9,0.6,0.6,0.9,2.847522495,2.847522495,3.731310037,0.5,0.5,0.5,2.508513497,2.508513497,4.308179033,Extreme,Extreme,Extreme
149,MIDDLETON SEWAGE,North East,6.73044E+11,Pole Mounted,200,Not Applicable,≤5,Distribution,No,20,0.4,Redacted,HARMIRE BRIDGE,DL12 0TN,Redacted,Not Applicable,395159,524909,1.467499495,0.0256183,Broadleaved woodland,0.1,Woodland,Low,Low,Low,Low,Very low,,,,,,0,0,0.9,0,0,0,0,0,0.9,0,0,1.492004597,0,0,1,0,0,2.792804137,,,Extreme
1447,WEAR LODGE,North East,8.40753E+11,Pole Mounted,16,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,EASTGATE CEMENT,DL13 2JX,Redacted,Not Applicable,397707,538837,1.460444212,0.025495082,Suburban,0.013,Urban,Low,Very low,Very low,Very low,Very low,,,,,,0,0,0.2,0,0,0,0,0,0.2,0,0,4.200537341,0,0,0,0,0,0.940107468,,,Moderate
2806,LOW COCKEN,North East,7.84136E+11,Pole Mounted,25,Not Applicable,≤5,Distribution,Unknown,11,0.4,Redacted,POTTER HOUSE T1 T3,DH3 4EN,Redacted,Not Applicable,428205,547270,1.456289768,0.025422526,Suburban,0.013,Urban,Low,Low,,,,,,,,,0,0,0.3,0,0,0,0,0,0.3,0,0,5.496423255,0,0,1,0,0,2.798926976,,,Extreme
1933,NEW HOUSE,North East,4.51539E+11,Pole Mounted,15,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,ANNFIELD 66/20KV,DH7 0RU,Redacted,Not Applicable,415736,548694,1.403697252,0.024504041,Suburban,0.013,Urban,Low,Very low,Very low,Very low,Very low,,,,,,0,0,0.2,0,0,0,0,0,0.2,0,0,4.118086873,0,0,0,0,0,0.923617375,,,Moderate
3546,TEMPEST PLACE,North East,7.23122E+11,Ground Mounted,500,Not Applicable,150,Distribution,Yes,20,0.4,430.9,STONEY CUT,SR7 7AY,"SR7 7EU, SR7 7BB, SR7 7AB, SR7 7AU, SR7 7BZ, SR7 7BA, SR7 7BD, SR7 7AY, SR7 7BY, SR7 7DQ, SR7 7DE, SR7 7DF, SR7 7DB, SR7 7HA, SR7 7DX, SR7 7EZ, SR7 7DJ, SR7 7DD",Not Applicable,442866,549626,1.401567936,0.024466856,Urban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773,HAWTHORNE CLOSE,North East,6.98995E+11,Ground Mounted,1000,Not Applicable,288,Distribution,Yes,20,0.4,350,POTTER HOUSE T1 T3,DH7 9FB,"DH7 9FA, DH7 9FJ, DH7 9FH, DH7 9WA, DH7 9FR, DH7 9FW, DH7 9FP, DH7 9UY, DH7 9FG, DH7 9FS, DH7 9FD, DH7 9UG, DH7 9FL, DH7 9FB, DH7 9UX, DH7 9UZ, DH7 9FN",Not Applicable,420590,544793,1.393768311,0.024330645,Suburban,0.013,Urban,,,,,,Low,Low,Very low,Very low,Very low,0,0,0,0,0,0.3,0,0,0.3,0,0,5.377094044,0,0,1,0,0,2.763128213,,,Extreme
1034,NEWTON AYCLIFFE CENTRAL,North East,3.29533E+11,Ground Mounted,800,Not Applicable,126,Distribution,Yes,11,0.4,278.3,AYCLIFFE INDUSTRIAL,DL5 4EJ,"DL5 4EJ, DL5 4LE, DL5 4DP, DL5 4EH, DL5 4DZ, DL5 4LG, DL5 5NS, DL5 4DS, DL5 4DJ, DL5 4LD, DL5 4SB, DL5 5NT, DL5 5LG",Not Applicable,427643,524955,1.367556453,0.023872896,Suburban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3275,FISHBURN SEWAGE,North East,3.99565E+11,Pole Mounted,200,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,FISHBURN,TS21 4AH,Redacted,Not Applicable,435591,531734,1.363821507,0.023807672,Broadleaved woodland,0.1,Woodland,,,,,,High,High,High,Medium,Medium,0,0,0,0.6,1.2,1.2,0.6,1.2,1.2,1.097638424,1.742392388,1.742392388,0.5,1,1,1.458583054,3.690870866,3.690870866,Significant,Extreme,Extreme
