objectid,site_name,dno_area,substation_id,site_type,transformer_rating__kva,firm_capacity__mva,customer_numbers,customer_numbers_filtered,site_level,three_phase,primary_voltage__kv_,secondary_voltage__kv_,maximum_demand__kw_,upstream_substation,postcode,postcodes_fed,postal_sectors_fed,eastings,northings,slope,slope_dimensionless,twi,spi,class,mannings,df_class,rofrs_0_2m,rofrs_0_3m,rofrs_0_6m,rofrs_0_9m,rofrs_1_2m,rofsw_0_2m,rofsw_0_3m,rofsw_0_6m,rofsw_0_9m,rofsw_1_2m,rofrs_high,rofrs_med,rofrs_low,rofsw_high,rofsw_med,rofsw_low,rof_high,rof_med,rof_low,velocity_high,velocity_med,velocity_low,df_high,df_med,df_low,hazard_high,hazard_med,hazard_low,degree_high,degree_med,degree_low,degree_high_class,degree_med_class,degree_low_class,degree_high_norm,degree_med_norm,degree_low_norm,twi_class,twi_class_norm,spi_class,spi_class_norm,combined_norm,site_type_class_high,site_type_class_med,site_type_class_low,site_type_norm_high,site_type_norm_med,site_type_norm_low,customers_class,customers_class_norm,high,med,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,FORCE GARTH,North East,6.44562E+11,Pole Mounted,16,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,EASTGATE CEMENT,DL12 0EP,Redacted,Not Applicable,387568,528742,8.930375099,0.157139012,5.251821995,4.714169979,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,4,0.75,0.375,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,GILL FIELD,North East,87489610927,Pole Mounted,7,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 9EX,Redacted,Not Applicable,398140,520302,7.278659821,0.127724404,5.969903469,6.386219501,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,4,0.75,0.5,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,GILMONBY,North East,1.92109E+11,Pole Mounted,50,Not Applicable,7,7,Distribution,Unknown,20,0.4,40.5,HARMIRE BRIDGE,DL12 9LY,"DL12 9LS, DL12 9LR, DL12 9LT",Not Applicable,399418,512989,2.674762964,0.046717363,6.464836597,1.401520848,Improved grassland,0.04,Pasture/Arable,,,,,,Low,Very low,Very low,Very low,Very low,0,0,0,0,0,0.2,0,0,0.2,0,0,1.847988084,0,0,0,0,0,0.469597617,,,Low,,,1,,,0,3,0.5,3,0.5,0.5,,,1,,,0,2,0.25,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,GILMONBY CHARITY,North East,7.00686E+11,Pole Mounted,7,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 9NA,Redacted,Not Applicable,397288,512847,1.637666464,0.028590458,8.496324539,4.002664089,Improved grassland,0.04,Pasture/Arable,Low,Low,Very low,Very low,Very low,,,,,,0,0,0.3,0,0,0,0,0,0.3,0,0,1.894369687,0,0,0,0,0,0.718310906,,,Low,,,1,,,0,5,1,4,0.75,0.875,,,1,,,0,1,0,,,0.21875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,GILMONBY PLEASANT,North East,7.81148E+11,Pole Mounted,16,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 9RH,Redacted,Not Applicable,397106,513167,8.853251457,0.155760004,5.953783512,9.345599174,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,4,0.75,0.5,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,GILMONBY SOUTH SW,North East,1.2043E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,Unknown,11,0.4,Redacted,TBC,DL12 9LU,Redacted,Not Applicable,400171,512607,5.364848614,0.093908878,4.66801548,0.939088762,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,2,0.25,0.125,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,GILMONBY WHORLANDS,North East,11233499566,Pole Mounted,15,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 9LU,Redacted,Not Applicable,399966,512660,11.49872303,0.20342909,3.895022869,2.034291029,Broadleaved woodland,0.1,Woodland,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,3,0.5,0.25,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,HOLWICK CROSSTHWAITE,North East,7.15003E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,No,20,0.4,Redacted,HARMIRE BRIDGE,DL12 0NH,Redacted,Not Applicable,392834,525405,10.34206009,0.182489232,5.102261543,5.474677086,Calcareous grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,4,0.75,0.375,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,HUNDERTHWAITE COTTAGES,North East,5.03326E+11,Pole Mounted,50,Not Applicable,?5,,Distribution,No,20,0.4,Redacted,HARMIRE BRIDGE,DL12 9ER,Redacted,Not Applicable,399840,520834,5.151119232,0.090147,6.654808998,6.31028986,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,4,0.75,0.625,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,HUNDERTHWAITE PUMPS,North East,3.97376E+11,Pole Mounted,50,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 9EJ,Redacted,Not Applicable,399211,521639,7.031145096,0.123336377,6.187184334,7.400182724,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,4,0.75,0.625,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
