objectid,site_name,dno_area,substation_id,site_type,transformer_rating__kva,firm_capacity__mva,customer_numbers,customer_numbers_filtered,site_level,three_phase,primary_voltage__kv_,secondary_voltage__kv_,maximum_demand__kw_,upstream_substation,postcode,postcodes_fed,postal_sectors_fed,eastings,northings,slope,slope_dimensionless,twi,spi,class,mannings,df_class,rofrs_0_2m,rofrs_0_3m,rofrs_0_6m,rofrs_0_9m,rofrs_1_2m,rofsw_0_2m,rofsw_0_3m,rofsw_0_6m,rofsw_0_9m,rofsw_1_2m,rofrs_high,rofrs_med,rofrs_low,rofsw_high,rofsw_med,rofsw_low,rof_high,rof_med,rof_low,velocity_high,velocity_med,velocity_low,df_high,df_med,df_low,hazard_high,hazard_med,hazard_low,degree_high,degree_med,degree_low,degree_high_class,degree_med_class,degree_low_class,degree_high_norm,degree_med_norm,degree_low_norm,twi_class,twi_class_norm,spi_class,spi_class_norm,combined_norm,site_type_class_high,site_type_class_med,site_type_class_low,site_type_norm_high,site_type_norm_med,site_type_norm_low,customers_class,customers_class_norm,high,med,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2591,BOWBURN SCHOOL,North East,7.97835E+11,Ground Mounted,500,Not Applicable,325,325,Distribution,Yes,20,0.4,294.8,SPENNYMOOR 66/20KV,DH6 5QB,"DH6 5PS, DH6 5DZ, DH6 5EU, DH6 5FB, DH6 5QA, DH6 5EB, DH6 5QB, DH6 5QD, DH6 5EY, DH6 5EE, DH6 5BP, DH6 5DA, DH6 5ED, DH6 5GA",Not Applicable,430908,538219,4.568376541,0.079902608,6.775442123,5.593182087,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,4,0.75,0.625,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2592,BOWBURN TREATMENT,North East,4.8831E+11,Ground Mounted,800,Not Applicable,?5,,Distribution,Yes,20,0.4,Redacted,SPENNYMOOR 66/20KV,DH6 5FQ,Redacted,Not Applicable,430218,537037,3.57701993,0.062512012,8.966801643,30.63088417,Urban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,1,5,1,1,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2593,BRACKEN HILL BUSINESS,North East,7.63682E+11,Ground Mounted,800,Not Applicable,?5,,Distribution,Yes,11,0.4,Redacted,PETERLEE WEST,SR8 2RS,Redacted,Not Applicable,440578,539989,1.031300902,0.01800154,7.013030052,0.36003083,Urban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,0.75,1,0,0.375,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2594,BRANCEPETH PARK,North East,5.61257E+11,Pole Mounted,100,Not Applicable,9,9,Distribution,Unknown,20,0.4,30.6,BRANCEPETH,DH7 8DZ,"DH7 8EA, DH7 8DZ",Not Applicable,422959,537863,2.497898579,0.043624196,6.821022987,1.744967818,Improved grassland,0.04,Pasture/Arable,,,,,,High,High,Very low,Very low,Very low,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,2.340010995,2.340010995,2.340010995,0.5,0.5,0.5,1.352003299,1.352003299,1.352003299,Significant,Significant,Significant,3,3,3,0.666666667,0.666666667,0.666666667,4,0.75,3,0.5,0.625,1,1,1,0,0,0,2,0.25,0.385416667,0.385416667,0.385416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2595,BRANCEPETH WEST,North East,1.5861E+11,Ground Mounted,500,Not Applicable,61,61,Distribution,Yes,20,0.4,58.1,BRANCEPETH,DH7 8EN,"DH7 8EN, DH7 8DG, DH7 8DJ, DH7 8DL, DH7 8DH",Not Applicable,422031,538086,1.99495101,0.034832541,5.659788132,0.348325402,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,1,0,0.125,,,,,,,3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2596,BRANDON FOLD,North East,99381323356,Ground Mounted,500,Not Applicable,143,143,Distribution,Unknown,20,0.4,312.5,POTTER HOUSE T1 T3,DH7 7JE,"DH7 7JQ, DH7 7ER, DH7 7JG, DH7 7JE, DH7 7JH, DH7 7ES, DH7 7ET, DH7 7JF",Not Applicable,422794,541422,4.147611618,0.07251619,5.619677544,1.45032382,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,3,0.5,0.375,,,,,,,4,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2597,BRANDON GROVE,North East,9.87094E+11,Ground Mounted,750,Not Applicable,404,404,Distribution,Yes,20,0.4,243.3,BRANCEPETH,DH7 8AL,"DH7 8AL, DH7 8UG, DH7 8BD, DH7 8BA, DH7 8TJ, DH7 8BE, DH7 8AR, DH7 8GD, DH7 8BP, DH7 8TR, DH7 8AY, DH7 8AP, DH7 8BG, DH7 8AW, DH7 8UF, DH7 8BB, DH7 8AZ, DH7 8AD",Not Applicable,423425,539298,3.393299103,0.059293582,5.820986748,1.185871601,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,3,0.5,0.375,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2598,BRASSIDE CELL,North East,2.88308E+11,Pole Mounted,100,Not Applicable,?5,,Distribution,Unknown,11,0.4,Redacted,BELMONT,DH1 5SQ,Redacted,Not Applicable,428837,545217,3.428909302,0.059917306,5.117374897,0.599173069,Broadleaved woodland,0.1,Woodland,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,2,0.25,0.125,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,BRASSIDE MAST,North East,3.66429E+11,Pole Mounted,100,Not Applicable,?5,,Distribution,Unknown,11,0.4,Redacted,POTTER HOUSE T1 T3,DH1 5SF,Redacted,Not Applicable,429224,545912,0.995140314,0.017370222,6.355583191,0.173702225,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,1,0,0.25,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,BRECKON TERRACE,North East,2.19876E+11,Ground Mounted,315,Not Applicable,121,121,Distribution,Yes,20,0.4,175,FISHBURN,TS21 4BU,"TS21 4OY, TS21 4BX, TS21 4BS, TS21 4AL, TS21 4BY, TS21 4ET, TS21 4AN, TS21 4DQ, TS21 4DJ, TS21 4DH, TS21 4BT, TS21 4EF, TS21 4BU",Not Applicable,436372,532025,2.629364252,0.045923306,5.383367538,0.459233046,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,1,0,0,,,,,,,4,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2601,BROOM SCHOOL,North East,5.50814E+11,Ground Mounted,500,Not Applicable,154,154,Distribution,Yes,20,0.4,119.4,SPENNYMOOR 66/20KV,DL17 8AN,"DL17 8TA, DL17 8DP, DL17 8AQ, DL17 8AA, DL17 8AD, DL17 8DG, DL17 8AF, DL17 8AB, DL17 8AN",Not Applicable,429302,532514,3.770510197,0.06590298,5.715303898,1.318059564,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,3,0.5,0.375,,,,,,,4,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2602,BROOMHALL DRIVE,North East,8.56445E+11,Ground Mounted,500,Not Applicable,228,228,Distribution,Yes,20,0.4,225,POTTER HOUSE T1 T3,DH7 7QR,"DH7 7NP, DH7 7NT, DH7 7NW, DH7 7NL, DH7 7QW, DH7 7NU, DH7 7NS, DH7 7RS, DH7 7NX, DH7 7QR, DH7 7NN, DH7 7QP",Not Applicable,423997,542137,5.053131104,0.08842315,5.421353817,1.768462896,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,3,0.5,0.25,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2603,BROOMSIDE FARM,North East,8.41859E+11,Pole Mounted,100,Not Applicable,6,6,Distribution,Unknown,11,0.4,33.7,BELMONT,DH6 1AA,DH6 1AA,Not Applicable,431662,543285,3.369490623,0.058876595,5.828043938,1.177531958,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,3,0.5,0.375,,,,,,,2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2604,BROWNEY ASHTREE,North East,7.07102E+11,Pole Mounted,50,Not Applicable,?5,,Distribution,Unknown,11,0.4,Redacted,MEADOWFIELD,DH7 8HP,Redacted,Not Applicable,425226,538582,2.199866056,0.038413784,6.660536289,1.152413607,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,2,0.25,0.375,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2605,BROWNEY RAIL,North East,5.624E+11,Pole Mounted,50,Not Applicable,?5,,Distribution,Unknown,11,0.4,Redacted,MEADOWFIELD,DH1 3SS,Redacted,Not Applicable,425598,538538,13.855196,0.246645272,5.494148731,14.79871655,Heather grassland,0.05,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,5,1,0.625,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2606,BROWNEY SEWAGE,North East,8.88854E+11,Ground Mounted,800,Not Applicable,?5,,Distribution,Yes,11,0.4,Redacted,MEADOWFIELD,DH7 8HN,Redacted,Not Applicable,425731,538660,6.391740799,0.112022011,6.571086407,8.961760521,Arable and horticulture,0.03,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,4,0.75,0.625,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607,BRUCE CRESCENT,North East,4.913E+11,Ground Mounted,500,Not Applicable,257,257,Distribution,Yes,20,0.4,317.5,HARTMOOR 66/20KV,TS28 5JJ,"TS28 5JQ, TS28 5JR, TS28 5JD, TS28 5JL, TS28 5LQ, TS28 5JE, TS28 5BB, TS28 5JF, TS28 5JG, TS28 5JJ, TS28 5JH, TS28 5LG, TS28 5JS, TS28 5LS, TS28 5BD, TS28 5LU",Not Applicable,439765,537696,2.932044744,0.051218552,5.967385769,1.024371147,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,2,0.25,0.25,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2608,BURNETT CRESCENT,North East,8.77098E+11,Ground Mounted,315,Not Applicable,126,126,Distribution,Yes,20,0.4,134.1,FISHBURN,DH6 4PE,"DH6 4PG, DH6 4PD, DH6 4PH, DH6 4PQ, DH6 4PE, DH6 4NN, DH6 4PF",Not Applicable,434040,536271,3.3023386,0.057700589,5.848220348,1.154011726,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,2,0.25,0.25,,,,,,,4,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2609,BURNIGILL FARM,North East,4.69741E+11,Pole Mounted,200,Not Applicable,?5,,Distribution,Unknown,11,0.4,Redacted,MEADOWFIELD,DH6 5JJ,Redacted,Not Applicable,425796,537906,6.464494705,0.113307924,4.480231285,1.13307929,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,2,0.25,0.125,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,BURTON BECK,North East,4.14532E+11,Pole Mounted,15,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,SPENNYMOOR 66/20KV,DL16 7QN,Redacted,Not Applicable,424586,534432,4.04740715,0.070758317,6.049682617,2.122749329,Urban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,3,0.5,0.375,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2611,BUTTERWICK AUXILIARY,North East,6.0517E+11,Pole Mounted,50,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARTMOOR 66/20KV,TS21 4BQ,Redacted,Not Applicable,439002,530985,0.506103218,0.008833397,7.031800747,0.088333972,Arable and horticulture,0.03,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,0.75,1,0,0.375,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612,BYERS GARTH,North East,9.74887E+11,Pole Mounted,50,Not Applicable,21,21,Distribution,Unknown,11,0.4,32.7,BELMONT,DH1 2SN,DH1 2SN,Not Applicable,431837,541092,4.234838009,0.074046754,4.905643463,0.740467548,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,2,0.25,0.125,,,,,,,2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2613,BYERS GREEN SOUTH,North East,1.51421E+11,Pole Mounted,200,Not Applicable,107,107,Distribution,Unknown,20,0.4,117.1,SPENNYMOOR 66/20KV,DL16 7NX,"DL16 7NL, DL16 7NR, DL16 7QE, DL16 7NT, DL16 7QG, DL16 7NP, DL16 7NS, DL16 7PB, DL16 7PA, DL16 7NW, DL16 7NU, DL16 7PD, DL16 7NX",Not Applicable,422428,533875,1.842716217,0.032172559,5.739226341,0.321725607,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,1,0,0.125,,,,,,,4,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2614,CAFE,North East,3.38294E+11,Ground Mounted,500,Not Applicable,310,310,Distribution,Yes,20,0.4,425,STONEY CUT,SR7 0AD,"SR7 7DS, SR7 7XD, SR7 7BQ, SR7 7XF",Not Applicable,442033,549589,2.128182411,0.037160882,7.386843204,2.229652882,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,0.75,3,0.5,0.625,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2615,CARR HOUSE DRIVE,North East,10698833704,Ground Mounted,500,Not Applicable,212,212,Distribution,Yes,11,0.4,305.6,POTTER HOUSE T4 T5,DH1 5LT,"DH1 5LD, DH1 5HW, DH1 5FS, DH1 5LT, DH1 5LB",Not Applicable,427360,544984,0.202552259,0.003535219,9.73932457,0.212113112,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,1,1,0,0.5,,,,,,,4,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2616,CARRS HOUSE KELLOE SW,North East,47225640891,Pole Mounted,25,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,TBC,DH6 4PS,Redacted,Not Applicable,435603,537411,1.568793058,0.027387449,6.998867989,0.821623504,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,0.75,2,0.25,0.5,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617,CASSOP MOOR LIGHTING,North East,5.54271E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,FISHBURN,DH1 2SW,Redacted,Not Applicable,432080,539392,5.059364319,0.088532792,5.420114517,1.77065587,Arable and horticulture,0.03,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,3,0.5,0.25,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2618,CASTLE EDEN CARAVAN (PEN),North East,7.64835E+11,Ground Mounted,800,Not Applicable,?5,,Distribution,Yes,20,0.4,Redacted,HARTMOOR 66/20KV,TS27 4TF,Redacted,Not Applicable,440591,538756,16.00955963,0.28692596,4.244263649,5.738518715,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,4,0.75,0.375,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619,CATLEY HILL,North East,5.58511E+11,Pole Mounted,50,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,FISHBURN,TS29 6NB,Redacted,Not Applicable,435735,533838,2.271947384,0.039673758,5.529650211,0.396737576,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,1,0,0.125,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2620,CEDAR DRIVE,North East,2.6365E+11,Ground Mounted,500,Not Applicable,113,113,Distribution,Yes,20,0.4,201.8,SPENNYMOOR 66/20KV,DH1 3TF,"DH1 3TB, DH1 3TD, DH1 3SX, DH1 3TF, DH1 3TX, DH1 3TE",Not Applicable,426550,540119,1.479469657,0.025827357,6.652053356,0.516547143,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,2,0.25,0.375,,,,,,,4,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2621,CHARTERS CRESCENT,North East,8.44929E+11,Ground Mounted,500,Not Applicable,238,238,Distribution,Yes,20,0.4,360,HAWTHORN PIT,DH6 2TW,"DH6 2TA, DH6 2TS, DH6 2SQ, DH6 2TQ, DH6 2TL, DH6 2UA, DH6 2UB, DH6 2TW, DH6 2TN, DH6 2TP, DH6 2SG, DH6 2TJ",Not Applicable,438128,544894,2.310063601,0.040340077,7.815579891,4.034007549,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,0.75,4,0.75,0.75,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2622,CHESTER DENE,North East,5.00353E+11,Pole Mounted,50,Not Applicable,?5,,Distribution,Yes,20,0.4,Redacted,POTTER HOUSE T1 T3,DH3 4QG,Redacted,Not Applicable,427498,549712,7.966619492,0.139946776,5.367690563,4.198403358,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,4,0.75,0.375,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2623,CHESTER MOOR,North East,2.39748E+11,Pole Mounted,200,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,POTTER HOUSE T1 T3,DH2 3RJ,Redacted,Not Applicable,426537,548990,1.402434468,0.024481988,6.012402534,0.24481988,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,1,0,0.125,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2624,CHILTON BLUE HOUSE,North East,5.96637E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,TORONTO 66/20KV,DL17 0HP,Redacted,Not Applicable,427738,530165,3.550958395,0.062055388,5.082313061,0.620553851,Broadleaved woodland,0.1,Woodland,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,2,0.25,0.125,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2625,CHILTON BUILDINGS WEST,North East,33690012898,Ground Mounted,315,Not Applicable,114,114,Distribution,Unknown,20,0.4,81.3,TORONTO 66/20KV,DL17 0PD,"DL17 0HW, DL17 0PB",Not Applicable,428088,530160,6.588708878,0.115504247,4.461033344,1.15504241,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,2,0.25,0.125,,,,,,,4,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2626,CHILTON DEPOT,North East,1.6285E+11,Ground Mounted,500,Not Applicable,?5,,Distribution,Yes,20,0.4,Redacted,SPENNYMOOR 66/20KV,DL17 0SD,Redacted,Not Applicable,428197,530476,5.624726772,0.098486588,5.719032288,2.954597712,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,4,0.75,0.5,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627,CHILTON GYPSY,North East,9.32598E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,No,20,0.4,Redacted,SKERNESIDE,DL17 0LE,Redacted,Not Applicable,431003,529801,3.200187683,0.055911966,9.0577631,26.83774376,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,1,5,1,1,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2628,CHILTON INDUSTRIAL,North East,5.86506E+11,Ground Mounted,750,Not Applicable,42,42,Distribution,Yes,20,0.4,261.4,SPENNYMOOR 66/20KV,DL17 0SH,"DL17 0SZ, DL17 0SH, DL17 0SQ, DL17 0PB, DL17 0SF, DL17 0SG",Not Applicable,427930,530343,2.569223642,0.044871491,5.406537533,0.448714912,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,1,0,0,,,,,,,3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2629,CHILTON LANE,North East,8.70588E+11,Pole Mounted,200,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,SKERNESIDE,DL17 9AA,Redacted,Not Applicable,430773,530897,6.222242832,0.109027573,6.464649677,7.631930351,Arable and horticulture,0.03,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,4,0.75,0.625,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2630,CHILTON LILAC,North East,31996248354,Pole Mounted,100,Not Applicable,41,41,Distribution,Unknown,20,0.4,41.8,SPENNYMOOR 66/20KV,DL17 0LB,"DL17 0DP, DL17 0DW, DL17 0DR, DL17 0DS",Not Applicable,430186,530574,2.674236774,0.046708159,6.465034008,1.40124476,Arable and horticulture,0.03,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,3,0.5,0.5,,,,,,,3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2631,CHILTON POPLAR,North East,9.25248E+11,Ground Mounted,750,Not Applicable,309,309,Distribution,Yes,20,0.4,220,TORONTO 66/20KV,DL17 0JP,"DL17 0RR, DL17 0JS",Not Applicable,428391,529662,2.14663434,0.037483377,6.27959013,0.749667525,Suburban,0.013,Urban,,,,,,Low,Very low,Very low,Very low,Very low,0,0,0,0,0,0.2,0,0,0.2,0,0,5.093261807,0,0,0,0,0,1.118652361,,,Moderate,,,2,,,0.333333333,3,0.5,2,0.25,0.375,,,1,,,0,5,1,,,0.427083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2632,CHURCHILL TERRACE,North East,3.62846E+11,Pole Mounted,100,Not Applicable,12,12,Distribution,Yes,11,0.4,15.1,BELMONT,DH6 1PF,"DH6 1PF, DH6 1PG",Not Applicable,434214,541925,7.819242477,0.137325123,4.981136322,2.746502399,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,3,0.5,0.25,,,,,,,2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2633,COALFORD LANE FARM,North East,7.27081E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,Unknown,11,0.4,Redacted,HAWTHORN PIT,DH6 1RD,Redacted,Not Applicable,433788,543763,4.263381004,0.074547673,4.898901463,0.745476723,Arable and horticulture,0.03,Pasture/Arable,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,2,0.25,0.125,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2634,COCKEN WHITE HOUSE,North East,76994326964,Pole Mounted,50,Not Applicable,?5,,Distribution,Unknown,11,0.4,Redacted,POTTER HOUSE T1 T3,DH3 4EP,Redacted,Not Applicable,430057,547972,2.053493261,0.035855572,6.729453564,1.075667024,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,2,0.25,0.375,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635,COLLEGE HOUSE,North East,3.46841E+11,Pole Mounted,15,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,FISHBURN,DL17 9DR,Redacted,Not Applicable,433511,533649,4.803320408,0.084030707,4.779158115,0.840306997,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,2,0.25,0.125,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636,CORBIE,North East,45919677580,Pole Mounted,15,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,FISHBURN,DH6 3HR,Redacted,Not Applicable,435035,538943,3.539582491,0.061856079,6.694967747,3.092803955,Arable and horticulture,0.03,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,4,0.75,0.625,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
